#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,,cwnd_(Bytes),Last_Router_Ocupation_Ack_Arriaval(Packets),Last_Router_Ocupation_Packet_Sent(Packets),Network_Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Last_Router_Ocupation_Router_Arrival(Packets),Last_Router_Ocupation_Router_Arrival_ewma(Packets),Network_Situation_Router_Arrival,Measure_Time
50212501,0.0769498054128035,0.0916136653057171,0.770290964777948,,0.00343834555351591,0.0648783,0.93,1,536050,535547,503,0.9,0.913539,2,535589
188789141,0.0492716012640111,0.0839282610469262,0.655436447166922,,0.00349033880500408,0.060707,0.07,1,2442202,2441774,428,0.05,0.0811662,1,2441821
261827101,0.123019106131061,0.111647470300911,0.666156202143951,,0.0025831096208737,0.413106,0.27,1,3429945,3429510,435,0.27,0.268392,1,3429599
341270081,0.0381722641684691,0.0344899631443966,0.649310872894334,,0.00425591290599832,0.0524312,0.07,1,4520355,4519931,424,0.06,0.0575439,1,4519941
35253061,0.039664510062992,0.0371780455533839,0.704441041347626,,0.00443650987341235,0.798273,0.77,2,464237,463777,460,0.77,0.772812,2,463815
120876921,0.0455330248499129,0.0536275633089876,0.738131699846861,,0.00484598325605085,0.795366,0.88,2,1734830,1734348,482,0.91,0.945879,2,1734382
3090881,0.00275068385125311,0.000607780469722714,0.653905053598775,,0.175987606506584,0.000000209036,0,1,42444,42017,427,0,5.85233E-19,1,42051
172403561,0.150134305921782,0.0759370865273083,0.811638591117917,,0.00275298961196057,0.0317427,0.03,1,2219878,2219348,530,0.06,0.0549485,1,2219465
3465921,0.0218144284557947,0.0200607638580971,0.649310872894334,,0.197676219984508,0.00000335743,0,1,43730,43306,424,0,1.11746E-10,1,43316
155538321,0.0565667728855585,0.0522347478459514,0.709035222052067,,0.00539530787432488,0.902393,0.75,2,1929122,1928659,463,0.75,0.782089,2,1928688
278005321,0.0255516779235944,0.022999279914583,0.702909647779479,,0.0058002185838736,0.9436,0.79,2,3804555,3804096,459,0.75,0.752576,2,3804140
61805601,0.0664623801246192,0.0645090117093693,0.753445635528331,,0.00427342083762189,0.915875,0.81,2,761117,760625,492,0.78,0.778364,2,760668
301861761,0.0544355075664374,0.0430281188034522,0.695252679938744,,0.00462060842715109,0.0691819,0.05,1,3955824,3955370,454,0.06,0.0544382,1,3955411
69696161,0.0591139410873756,0.0584496525499182,0.745788667687596,,0.0045863353246395,0.944368,0.79,2,758190,757703,487,0.76,0.759209,2,757742
11736441,0.00379500954453516,0.000361229253204025,0.658499234303216,,0.672347017815647,0.247171,0.22,1,70977,70547,430,0.01,0.0100023,1,70557
215299821,0.0611363968100211,0.067198867727758,0.76416539050536,,0.0046633702237832,0.0488353,0.75,1,2795955,2795456,499,0.93,0.911492,2,2795497
5406961,0.00555711840341821,0.00295039923947629,0.656967840735069,,0.309527498063517,0.00203769,0,1,49991,49562,429,0.04,0.0240038,1,49580
259460441,0.141409444445498,0.149393957667491,0.750382848392037,,0.00242458325817302,0.0487939,0.05,1,3394848,3394358,490,0.06,0.0570314,1,3394435
283782581,0.0626182166979131,0.0667756845245485,0.690658499234303,,0.00368610931315854,0.0293295,0.05,1,3725625,3725174,451,0.02,0.0167283,1,3725214
248749881,0.120088260885225,0.117803845894626,0.69218989280245,,0.00245057988391711,0.050416,0.03,1,3249713,3249261,452,0.03,0.0225364,1,3249344
219736721,0.142768806146415,0.140661237057085,0.770290964777948,,0.00251700391541016,0.203248,0.97,1,2984013,2983510,503,0.91,0.933997,2,2983595
162795621,0.107692307692308,0.121422363795666,0.719754977029096,,0.00258257907749117,0.0657742,0.87,1,2226683,2226213,470,0.87,0.91432,2,2226255
235387961,0.0597281276598165,0.0550444998598849,0.664624808575804,,0.00412168543021763,0.295314,0.25,1,3074819,3074385,434,0.25,0.251502,1,3074421
323910361,0.19859267866858,0.217866631667441,0.728943338437979,,0.00168468745689335,0.751965,0.99,2,4530244,4529768,476,0.89,0.908703,2,4529794
227211181,0.0729890602755878,0.0784995973906659,0.704441041347626,,0.00358901987415511,0.0567327,0.77,1,2904503,2904043,460,0.73,0.756964,2,2904087
121803561,0.10752321682113,0.121777440397856,0.771822358346095,,0.00303810362573348,0.934873,0.77,2,1469156,1468652,504,0.78,0.776638,2,1468707
144162741,0.0675711385388805,0.0587726268219403,0.754977029096478,,0.0046617785936356,0.907869,0.75,2,1910963,1910470,493,0.76,0.750353,2,1910515
313192821,0.0520864334906081,0.0266387264065609,0.718223583460949,,0.00496726547329775,0.408636,0.25,1,4115238,4114769,469,0.26,0.257238,1,4114815
273435521,0.072089580248973,0.0827014554238749,0.750382848392037,,0.00434695415044088,0.943777,0.75,2,3743737,3743247,490,0.76,0.757035,2,3743289
14389861,0.00266786344585206,4.98020651907872E-05,0.667687595712098,,0.824322230828815,0.0870719,0.11,1,79749,79313,436,0.25,0.2124,1,79327
267084521,0.0636860293406783,0.0736844252264012,0.739663093415008,,0.00466294578907717,0.903349,0.75,2,3656377,3655894,483,0.76,0.751282,2,3655929
308164581,0.0743364794598191,0.106461968493603,0.761102603369066,,0.00284572859522723,0.270143,0.89,1,4046994,4046497,497,0.9,0.907564,2,4046539
