ack_ewma(ms),classes,freq,,,
16.4919,11.26,1,,,
7.19676,11.28,5,,,
4.0787,11.3,2,,,
102.431,11.32,1,,,
42.1726,11.34,2,,,
18.069,11.36,4,,,
12.6276,11.38,2,,,
6.25105,11.4,2,,,
3.70042,11.42,5,,,
2.68017,11.44,3,,,
2.27207,11.46,2,,,
2.10883,11.48,1,,,
1.44353,11.5,1,,,
4.17741,11.52,8,,,
10.071,11.54,3,,,
5.22839,11.56,1,,,
3.29135,11.58,4,,,
2.51654,11.6,4,,,
2.20662,11.62,0,,,
2.08265,11.64,2,,,
1.43306,11.66,2,,,
1.77322,11.68,1,,,
1.90929,11.7,2,,,
1.96372,11.72,2,,,
1.38549,11.74,6,,,
1.75419,11.76,0,,,
1.90168,11.78,2,,,
1.96067,11.8,2,,,
1.38427,11.82,0,,,
3.55371,11.84,1,,,
2.62148,11.86,1,,,
2.15121,11.88,1,,,
1.46048,11.9,4,,,
1.42459,11.92,1,,,
89.3698,11.94,4,,,
36.9479,11.96,3,,,
15.9792,11.98,4,,,
7.59167,12,8,,,
100.837,12.02,2,,,
41.5347,12.04,0,,,
21.4139,12.06,4,,,
9.76555,12.08,1,,,
10.5062,12.1,2,,,
5.40249,12.12,4,,,
3.36099,12.14,2,,,
2.5444,12.16,7,,,
2.21776,12.18,1,,,
2.0871,12.2,5,,,
1.43484,12.22,4,,,
1.17394,12.24,6,,,
2.43965,12.26,4,,,
5.77586,12.28,5,,,
3.51034,12.3,4,,,
2.60414,12.32,4,,,
2.24166,12.34,7,,,
2.09666,12.36,5,,,
2.03866,12.38,2,,,
2.01547,12.4,4,,,
2.00619,12.42,6,,,
2.00247,12.44,6,,,
2.00099,12.46,3,,,
2.0004,12.48,6,,,
1.40016,12.5,2,,,
1.76006,12.52,2,,,
1.90403,12.54,4,,,
1.96161,12.56,4,,,
1.90384,12.58,8,,,
88.0966,12.6,4,,,
36.4386,12.62,2,,,
15.7754,12.64,3,,,
7.51018,12.66,3,,,
98.4041,12.68,3,,,
39.9616,12.7,4,,,
19.5846,12.72,5,,,
8.43386,12.74,3,,,
15.9735,12.76,3,,,
7.58942,12.78,5,,,
4.23577,12.8,4,,,
2.89431,12.82,3,,,
2.35772,12.84,4,,,
2.14309,12.86,3,,,
2.65724,12.88,8,,,
4.66289,12.9,2,,,
3.06516,12.92,1,,,
2.42606,12.94,3,,,
1.86132,12.96,3,,,
6.14453,12.98,3,,,
3.65781,13,4,,,
2.66312,13.02,7,,,
2.26525,13.04,6,,,
2.1061,13.06,4,,,
2.04244,13.08,5,,,
1.41698,13.1,4,,,
1.76679,13.12,2,,,
1.90672,13.14,5,,,
1.96269,13.16,1,,,
1.98507,13.18,4,,,
1.75761,13.2,5,,,
1.90304,13.22,7,,,
1.36122,13.24,5,,,
1.74449,13.26,3,,,
1.95898,13.28,4,,,
1.98359,13.3,1,,,
1.39344,13.32,1,,,
92.9212,13.34,5,,,
38.3685,13.36,6,,,
16.5474,13.38,4,,,
7.81895,13.4,0,,,
97.9276,13.42,1,,,
40.371,13.44,3,,,
17.3484,13.46,8,,,
7.53936,13.48,4,,,
17.4157,13.5,6,,,
8.1663,13.52,5,,,
4.46652,13.54,2,,,
2.98661,13.56,3,,,
2.39464,13.58,2,,,
1.55786,13.6,7,,,
1.82314,13.62,1,,,
1.92926,13.64,4,,,
1.3717,13.66,4,,,
2.94868,13.68,4,,,
2.37947,13.7,3,,,
6.35179,13.72,2,,,
3.74072,13.74,2,,,
2.52456,13.76,3,,,
3.28393,13.78,3,,,
2.51357,13.8,0,,,
2.20543,13.82,6,,,
2.08217,13.84,2,,,
2.03287,13.86,3,,,
1.41315,13.88,3,,,
2.36526,13.9,3,,,
2.1461,13.92,4,,,
2.05533,13.94,5,,,
2.02213,13.96,2,,,
2.00885,13.98,3,,,
91.7606,14,4,,,
37.9042,14.02,3,,,
16.3617,14.04,4,,,
7.74468,14.06,4,,,
94.2979,14.08,4,,,
38.9191,14.1,4,,,
16.7677,14.12,1,,,
7.30706,14.14,1,,,
16.7228,14.16,1,,,
7.88913,14.18,2,,,
4.35565,14.2,5,,,
2.94226,14.22,2,,,
5.9769,14.24,1,,,
3.59076,14.26,1,,,
2.6363,14.28,5,,,
2.25452,14.3,5,,,
2.10181,14.32,6,,,
2.04072,14.34,3,,,
2.01629,14.36,1,,,
1.40652,14.38,1,,,
1.76261,14.4,2,,,
1.90504,14.42,1,,,
9.16202,14.44,2,,,
4.86481,14.46,6,,,
3.14592,14.48,2,,,
2.45837,14.5,6,,,
2.18335,14.52,3,,,
2.07334,14.54,3,,,
2.02934,14.56,4,,,
2.01173,14.58,2,,,
2.00469,14.6,4,,,
2.00188,14.62,4,,,
2.00075,14.64,1,,,
2.0003,14.66,6,,,
2.60012,14.68,2,,,
2.24005,14.7,6,,,
2.03841,14.72,5,,,
2.01536,14.74,0,,,
2.00615,14.76,6,,,
2.00246,14.78,2,,,
2.00098,14.8,6,,,
2.00016,14.82,1,,,
3.80006,14.84,2,,,
87.3152,14.86,4,,,
36.1261,14.88,8,,,
