Protocolo,Total_Tx,Throughput_Med,Throughput_Norm,Fluxo_ID,Fluxos
Vegas++CNN123,23.3654632568359,0.0129808129204644,0.00136115732236483,Fluxo137,20
Vegas++CNN123,29.9570693969727,0.0166428163316515,0.00174515197572001,Fluxo138,20
Vegas++CNN123,29.7507820129395,0.0165282122294108,0.00173313468420724,Fluxo139,20
Vegas++CNN123,28.5796852111816,0.0158776028951009,0.0016649123267308,Fluxo140,20
Vegas++CNN123,29.7277183532715,0.0165153990851508,0.00173179110848214,Fluxo141,20
Vegas++CNN123,25.0027732849121,0.0138904296027289,0.00145653897644118,Fluxo142,20
Vegas++CNN123,25.5341300964355,0.0141856278313531,0.00148749321889909,Fluxo143,20
Vegas++CNN123,18.9187850952148,0.0105104361640082,0.001102115655895,Fluxo144,20
Vegas++CNN123,26.130744934082,0.0145170805189345,0.00152224907398176,Fluxo145,20
Vegas++CNN13,84.0554428100586,0.0466974682278103,0.00489665795229016,Fluxo146,20
Vegas++CNN13,76.1161613464356,0.0422867563035753,0.0044341543425933,Fluxo147,20
Vegas++CNN13,75.9752807617187,0.042208489312066,0.00442594733050206,Fluxo148,20
Vegas++CNN13,87.4681663513184,0.0485934257507324,0.00509546649232771,Fluxo149,20
Vegas++CNN13,78.2789573669434,0.0434883096483019,0.00456014823399344,Fluxo150,20
Vegas++CNN13,77.4152412414551,0.0430084673563639,0.00450983236754859,Fluxo151,20
Vegas++CNN13,74.389045715332,0.0413272476196289,0.00433354105442494,Fluxo152,20
Vegas++CNN13,78.3692474365234,0.0435384707980686,0.00456540809073135,Fluxo153,20
Vegas++CNN13,79.9878196716309,0.0444376775953505,0.00465969817286564,Fluxo154,20
Vegas++CNN13,74.9092750549316,0.0416162639194065,0.00436384706492948,Fluxo155,20
Vegas++CNN13,76.9385948181152,0.0427436637878418,0.00448206528404691,Fluxo156,20
Vegas++CNN13,79.4873313903809,0.0441596285502116,0.00463054217962498,Fluxo157,20
Vegas++CNN13,76.9545211791992,0.0427525117662218,0.00448299307575255,Fluxo158,20
Vegas++CNN13,77.7414970397949,0.0431897205776639,0.00452883843064235,Fluxo159,20
Vegas++CNN13,75.3254928588867,0.0418474960327148,0.00438809387336313,Fluxo160,20
Vegas++CNN13,74.6152496337891,0.0414529164632161,0.00434671858557727,Fluxo161,20
Vegas++CNN13,71.2143669128418,0.039563537173801,0.00414859983367248,Fluxo162,20
