#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),AckArrival(ms)
1024921,800,800,800,1460,0,585000
1026381,800,800,800,1460,0,585800
1027841,800,800,800,1460,0,586600
1029301,800,800,800,1460,0,587400
1030761,800,800,800,1460,0,588200
1032221,800,800,800,1460,0,589000
1033681,800,800,800,1460,0,589800
1035141,800,800,800,1460,0,590600
1036601,800,800,800,1460,0,591400
1038061,800,800,800,1460,0,592200
1039521,800,800,800,1460,0,593000
1040981,800,800,800,1460,0,593800
1042441,800,800,800,1460,0,594600
1043901,800,800,800,1460,0,595400
1045361,800,800,800,1460,0,596200
1046821,800,800,800,1460,0,597000
1048281,800,800,800,1460,0,597800
1049741,800,800,800,1460,0,598600
1051201,800,800,800,1460,0,599400
1052661,800,800,800,1460,0,600200
1054121,800,800,800,1460,0,601000
1055581,800,800,800,1460,0,601800
1057041,800,800,800,1460,0,602600
1058501,800,800,800,1460,0,603400
1059961,800,800,800,1460,0,604200
1061421,800,800,800,1460,0,605000
1062881,800,800,800,1460,0,605800
1064341,800,800,800,1460,0,606600
1065801,800,800,800,1460,0,607400
1067261,800,800,800,1460,0,608200
1068721,800,800,800,1460,0,609000
1070181,800,800,800,1460,0,609800
1071641,800,800,800,1460,0,610600
1073101,800,800,800,1460,0,611400
1074561,800,800,800,1460,0,612200
1076021,800,800,800,1460,0,613000
1077481,800,800,800,1460,0,613800
1078941,800,800,800,1460,0,614600
1080401,800,800,800,1460,0,615400
1081861,800,800,800,1460,0,616200
1083321,800,800,800,1460,0,617000
1084781,800,800,800,1460,0,617800
1086241,800,800,800,1460,0,618600
1087701,800,800,800,1460,0,619400
1089161,800,800,800,1460,0,620200
1090621,800,800,800,1460,0,621000
1092081,800,800,800,1460,0,621800
1093541,800,800,800,1460,0,622600
1095001,800,800,800,1460,0,623400
1096461,800,800,800,1460,0,624200
1097921,800,800,800,1460,0,625000
1099381,800,800,800,1460,0,625800
1100841,800,800,800,1460,0,626600
1102301,800,800,800,1460,0,627400
1103761,800,800,800,1460,0,628200
1105221,800,800,800,1460,0,629000
1106681,800,800,800,1460,0,629800
1108141,800,800,800,1460,0,630600
1109601,800,800,800,1460,0,631400
1111061,800,800,800,1460,0,632200
1112521,800,800,800,1460,0,633000
1113981,800,800,800,1460,0,633800
1115441,800,800,800,1460,0,634600
1116901,800,800,800,1460,0,635400
1118361,800,800,800,1460,0,636200
1119821,800,800,800,1460,0,637000
1121281,800,800,800,1460,0,637800
1122741,800,800,800,1460,0,638600
1124201,800,800,800,1460,0,639400
1125661,800,800,800,1460,0,640200
1127121,800,800,800,1460,0,641000
1128581,800,800,800,1460,0,641800
1130041,800,800,800,1460,0,642600
1131501,800,800,800,1460,0,643400
1132961,800,800,800,1460,0,644200
1134421,800,800,800,1460,0,645000
1135881,800,800,800,1460,0,645800
1137341,800,800,800,1460,0,646600
1138801,800,800,800,1460,0,647400
1140261,800,800,800,1460,0,648200
1141721,800,800,800,1460,0,649000
1143181,800,800,800,1460,0,649800
1144641,800,800,800,1460,0,650600
1146101,800,800,800,1460,0,651400
1147561,800,800,800,1460,0,652200
1149021,800,800,800,1460,0,653000
1150481,800,800,800,1460,0,653800
1151941,800,800,800,1460,0,654600
1153401,800,800,800,1460,0,655400
1154861,800,800,800,1460,0,656200
1156321,800,800,800,1460,0,657000
1157781,800,800,800,1460,0,657800
1159241,800,800,800,1460,0,658600
1160701,800,800,800,1460,0,659400
1162161,800,800,800,1460,0,660200
1163621,800,800,800,1460,0,661000
1165081,800,800,800,1460,0,661800
1166541,800,800,800,1460,0,662600
1168001,800,800,800,1460,0,663400
1169461,800,800,800,1460,0,664200
1170921,800,800,800,1460,0,665000
1172381,800,800,800,1460,0,665800
1173841,800,800,800,1460,0,666600
1175301,800,800,800,1460,0,667400
1176761,800,800,800,1460,0,668200
1178221,800,800,800,1460,0,669000
1179681,800,800,800,1460,0,669800
1181141,800,800,800,1460,0,670600
1182601,800,800,800,1460,0,671400
1184061,800,800,800,1460,0,672200
1185521,800,800,800,1460,0,673000
1186981,800,800,800,1460,0,673800
1188441,800,800,800,1460,0,674600
1189901,800,800,800,1460,0,675400
1191361,800,800,800,1460,0,676200
1192821,800,800,800,1460,0,677000
1194281,800,800,800,1460,0,677800
1195741,800,800,800,1460,0,678600
1197201,800,800,800,1460,0,679400
1198661,800,800,800,1460,0,680200
