#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Input_1,Input_2,Input_3,NetworkPrevision CPP
2903321,7.43453e-07,7.43453e-07,600,232140,0,0,1,89693,89093,600,8.32314e-10,8.9145e-10,0.688508,1
2906241,3.71727e-08,3.71727e-08,600,236520,0,0,1,89693,89093,600,4.16157e-11,4.45725e-11,0.688508,1
2922301,570,570,600,91940,0,0,1,90293,89693,600,0.638129,0.683468,0.688508,1
2929601,28.5,28.5,600,85780,0,0,1,90293,89693,600,0.0319065,0.0341734,0.688508,1
2936901,1.425,1.425,600,81760,0,0,1,90293,89693,600,0.00159532,0.00170867,0.688508,1
2942741,1520.07,1520.07,600,1460,0,0,1,91893,91293,600,1.70176,1.82267,0.688508,2
2983621,646.004,646.004,600,240900,0,0,1,92493,91893,600,0.723217,0.774601,0.688508,1
3047021,32.3002,32.3002,600,245280,0,0,1,92493,91893,600,0.0361609,0.0387301,0.688508,1
3057241,1.61501,1.61501,600,249660,0,0,1,92493,91893,600,0.00180804,0.0019365,0.688508,1
3060161,0.0807505,0.0807505,600,254040,0,0,1,92493,91893,600,9.04022e-05,9.68252e-05,0.688508,1
3063081,0.00403753,0.00403753,600,258420,0,0,1,92493,91893,600,4.52011e-06,4.84126e-06,0.688508,1
3066001,0.000201876,0.000201876,600,262800,0,0,1,92493,91893,600,2.26006e-07,2.42063e-07,0.688508,1
3068421,15.2,1.00938e-05,616,267180,0,0,1,92509,91893,616,0.0170168,1.21032e-08,0.706868,1
3069881,0.760001,15.2,600,271560,0,0,1,92509,91909,600,0.00085084,0.0182258,0.688508,1
3090721,1138.14,1138.86,600,1460,0,0,1,93707,93107,600,1.27417,1.36557,0.688508,2
3200081,626.907,626.943,600,271560,0,0,1,94307,93707,600,0.701838,0.751746,0.688508,1
3201541,39.8954,39.8972,600,275940,0,0,1,94316,93716,600,0.0446638,0.0478394,0.688508,1
3203001,571.995,571.995,600,114200,0,0,1,94916,94316,600,0.640362,0.68586,0.688508,1
3213221,28.5997,28.5997,600,116440,0,0,1,94916,94316,600,0.0320181,0.034293,0.688508,1
3216141,1.42999,1.42999,600,114980,0,0,1,94916,94316,600,0.00160091,0.00171465,0.688508,1
3219061,0.0714994,0.0714994,600,114980,0,0,1,94916,94316,600,8.00454e-05,8.57326e-05,0.688508,1
3260301,0.00357497,0.00357497,600,114980,0,0,1,94916,94316,600,4.00227e-06,4.28663e-06,0.688508,1
3271981,565.25,565.25,600,70720,0,0,1,95511,94911,600,0.632812,0.677773,0.688508,1
3311401,28.2625,28.2625,600,69720,0,0,1,95511,94911,600,0.0316406,0.0338886,0.688508,1
3332161,1.41313,1.41313,600,33900,0,0,1,95511,94911,600,0.00158203,0.00169443,0.688508,1
3333621,195.771,5.77066,800,280320,0,0,1,95717,94917,800,0.21917,0.0069194,0.91801,2
3336541,384.089,564.589,600,74460,0,0,1,96111,95511,600,0.429997,0.676979,0.688508,1
3339461,19.2044,28.2294,600,78840,0,0,1,96111,95511,600,0.0214998,0.033849,0.688508,1
3342381,0.960222,1.41147,600,83220,0,0,1,96111,95511,600,0.00107499,0.00169245,0.688508,1
3345301,0.0480111,0.0705736,600,87600,0,0,1,96111,95511,600,5.37496e-05,8.46225e-05,0.688508,1
3348221,0.00240056,0.00352868,600,91980,0,0,1,96111,95511,600,2.68748e-06,4.23112e-06,0.688508,1
3351141,0.000120028,0.000176434,600,96360,0,0,1,96111,95511,600,1.34374e-07,2.11556e-07,0.688508,1
3354061,6.00139e-06,8.82171e-06,600,100740,0,0,1,96111,95511,600,6.71871e-09,1.05778e-08,0.688508,1
3356981,3.0007e-07,4.41086e-07,600,105120,0,0,1,96111,95511,600,3.35936e-10,5.28891e-10,0.688508,1
3359901,1.50035e-08,2.20543e-08,600,109500,0,0,1,96111,95511,600,1.67968e-11,2.64446e-11,0.688508,1
3362821,7.50175e-10,1.10271e-09,600,113880,0,0,1,96111,95511,600,8.39839e-13,1.32223e-12,0.688508,1
3365741,3.75087e-11,5.51357e-11,600,118260,0,0,1,96111,95511,600,4.1992e-14,6.61114e-14,0.688508,1
3368661,1.87544e-12,2.75679e-12,600,122640,0,0,1,96111,95511,600,2.0996e-15,3.30557e-15,0.688508,1
3371581,9.37719e-14,1.37839e-13,600,127020,0,0,1,96111,95511,600,1.0498e-16,1.65279e-16,0.688508,1
3374501,4.6886e-15,6.89197e-15,600,131400,0,0,1,96111,95511,600,5.249e-18,8.26393e-18,0.688508,1
