#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),rtt_ratio_real,ack_ewma,send_ack_ewma_norm,rtt_ratio_norm,Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
10415641,1557.36,1507.13,1560,1460,2.42236024844721,0.842239612345666,0.806180361278865,0.844155844155844,0.74527,0,2,10894930,10893370,1560
10421481,1748.21,1676.22,1752,1460,2.72049689440994,0.945453660488786,0.896628456193467,0.948051948051948,0.926903,0,2,10901506,10899754,1752
10434621,1441.02,1460.33,1440,1460,2.2360248447205,0.779321496752422,0.781146528160388,0.779220779220779,0.740997,0,2,10915282,10913842,1440
10441921,1748.33,1678.62,1752,1460,2.72049689440994,0.945518557977794,0.897912242507235,0.948051948051948,0.929082,0,2,10923538,10921786,1752
10450681,1702.58,1675.57,1704,1460,2.64596273291925,0.920776390293499,0.896280764066821,0.922077922077922,0.90923,0,2,10933810,10932106,1704
10465281,1486.73,1462.69,1488,1460,2.31055900621118,0.804042031940381,0.782408918035593,0.805194805194805,0.72944,0,2,10949650,10948162,1488
10466741,1533.54,1486.73,1536,1460,2.38509316770186,0.82935746077758,0.795268177611837,0.831168831168831,0.789776,0,2,10951186,10949650,1536
10471121,1725.47,1677.35,1728,1460,2.6832298136646,0.933155586321773,0.897232905582866,0.935064935064935,0.934466,0,2,10956226,10954498,1728
10478421,1560.66,1573.2,1560,1460,2.42236024844721,0.844024293293385,0.841521928674972,0.844155844155844,0.723127,0,2,10964794,10963234,1560
10481341,1440.3,1446.03,1440,1460,2.2360248447205,0.778932111818374,0.773497301374186,0.779220779220779,0.7025,0,2,10967674,10966234,1440
10484261,1533.48,1485.62,1536,1460,2.38509316770186,0.829325012033076,0.794674426441719,0.831168831168831,0.7544,0,2,10970698,10969162,1536
10485721,1558.67,1533.48,1560,1460,2.42236024844721,0.84294807660067,0.820275265182111,0.844155844155844,0.77576,0,2,10972258,10970698,1560
10490101,1679.76,1675.14,1680,1460,2.60869565217391,0.908435051133813,0.896050752352271,0.909090909090909,0.911969,0,2,10977202,10975522,1680
10491561,1771.19,1679.76,1776,1460,2.75776397515528,0.957881529633816,0.898522041006275,0.961038961038961,0.934787,0,2,10978978,10977202,1776
10498861,1490.89,1545.83,1488,1460,2.31055900621118,0.806291811559325,0.826881415588375,0.805194805194805,0.71474,0,2,10987330,10985842,1488
