#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,rtt_ratio,ack_ewma_norm,send_ewma_norm,rtt_ratio_norm,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
6790461,1801.19,1823.81,1800,2.79503105590062,0.974105901885813,0.975575965380562,0.974025974025976,1460,0.930211,0,2,7124242,7122442,1800
6791921,1731.66,1801.19,1728,2.6832298136646,0.936503215129768,0.963476279373298,0.935064935064937,1460,0.774084,0,2,7125970,7124242,1728
6799221,1510.56,1483.26,1512,2.34782608695652,0.81692959163255,0.793412036566514,0.81818181818182,1460,0.771463,0,2,7133218,7131706,1512
6805061,1681.99,1719.71,1680,2.60869565217391,0.909641062804545,0.919891734020872,0.90909090909091,1460,0.927477,0,2,7139794,7138114,1680
6809441,1753.25,1776.9,1752,2.72049689440994,0.948179355027122,0.950483292056037,0.94805194805195,1460,0.948559,0,2,7145122,7143370,1752
6822581,1511.81,1508.16,1512,2.34782608695652,0.81760560714305,0.806731319571857,0.81818181818182,1460,0.759887,0,2,7157770,7156258,1512
6828421,1682.15,1723.07,1680,2.60869565217391,0.909727592789889,0.921689034860148,0.90909090909091,1460,0.917485,0,2,7164394,7162714,1680
6832801,1755.47,1821.37,1752,2.72049689440994,0.94937995857377,0.974270782628231,0.94805194805195,1460,0.927759,0,2,7169746,7167994,1752
6844481,1105.02,1124.39,1104,1.71428571428571,0.597608527530056,0.601448538890702,0.597402597402598,1460,0.449758,0,1,7179202,7178098,1104
6856161,1579.13,1486.67,1584,2.45962732919255,0.854013098476532,0.795236082953992,0.857142857142858,1460,0.78587,0,2,7190218,7188634,1584
6860541,1679.82,1676.33,1680,2.60869565217391,0.908467499878317,0.896687296399514,0.90909090909091,1460,0.924616,0,2,7195186,7193506,1680
6878061,1778.27,1821.47,1776,2.75776397515528,0.961710481485287,0.974324273724639,0.961038961038962,1460,0.94257,0,2,7215970,7214194,1776
6886821,1678.63,1652.52,1680,2.60869565217391,0.907823933112322,0.883951066345007,0.90909090909091,1460,0.900322,0,2,7225930,7224250,1680
6888281,1748.33,1678.63,1752,2.72049689440994,0.945518557977794,0.897917591616876,0.94805194805195,1460,0.918129,0,2,7227682,7225930,1752
6892661,1846.62,1820.39,1848,2.8695652173913,0.99867500959942,0.973746569883443,1,1460,0.94196,0,2,7233106,7231258,1848
6905801,1511.87,1509.47,1512,2.34782608695652,0.817638055887554,0.807432052934789,0.81818181818182,1460,0.761589,0,2,7246210,7244698,1512
6907261,1580.39,1511.87,1584,2.45962732919255,0.854694522111115,0.808715839248557,0.857142857142858,1460,0.790636,0,2,7247794,7246210,1584
6911641,1725.42,1676.33,1728,2.6832298136646,0.933128545701353,0.896687296399514,0.935064935064937,1460,0.922521,0,2,7252810,7251082,1728
6930621,1510.73,1486.62,1512,2.34782608695652,0.817021529741978,0.795209337405789,0.81818181818182,1460,0.759668,0,2,7272394,7270882,1512
