x,y,z
11.1092,0.00000011016,0.0373953
11.2206,0.0000000963896,0.0327209
10.068,0.0000000843409,0.0286308
10.3095,0.0000000737983,0.025052
10.5208,0.0000000645735,0.0219205
10.7057,0.0000000565018,0.0191804
10.8675,0.0000000494391,0.0167829
11.0091,0.0000000432592,0.014685
11.1329,0.0000000378518,0.0128494
10.3663,0.0000000331203,0.0112432
9.32052,0.0000000289803,0.0098378
8.78045,0.0000000253578,0.00860808
9.1829,262.875,0.00753207
37.285,277.516,0.00659056
34.1244,242.826,0.00576674
31.3589,212.473,0.0050459
784.939,944.914,0.0106652
689.822,826.8,0.020582
606.594,723.45,0.0342593
533.77,633.018,0.0512269
470.048,553.891,0.0710735
414.292,484.655,0.0934393
365.506,424.073,0.118009
322.818,371.064,0.144508
285.465,324.681,0.172695
252.782,284.096,0.202358
224.184,248.584,0.233313
199.161,217.511,0.265399
177.266,221.072,0.293474
158.108,193.438,0.31804
141.344,172.258,0.342035
126.676,150.726,0.363031
113.842,134.885,0.381402
102.612,118.025,0.397476
92.7852,106.271,0.411542
84.187,92.9875,0.423849
76.6636,84.3641,0.434618
70.0807,73.8186,0.444041
64.3206,67.5913,0.451036
59.2805,59.1423,0.452156
54.8705,54.7496,0.448137
51.0117,47.9059,0.43962
47.6352,44.9176,0.427167
44.6808,39.3029,0.411271
42.0957,37.3901,0.392362
39.8337,32.7163,0.370817
37.8545,31.6268,0.346965
36.1227,27.6734,0.321094
34.6074,27.2142,0.293458
33.2814,23.8125,0.264275
32.1213,23.8359,0.233741
31.1061,23.8564,0.204523
30.2178,23.8744,0.178958
29.4406,23.8901,0.156588
28.7605,23.9038,0.137015
28.1655,23.9158,0.119888
27.6448,23.9264,0.104902
27.1892,23.9356,0.0917891
26.7905,23.9436,0.0803155
26.4417,23.9507,0.070276
25.7615,23.9568,0.0614915
817.041,853.337,0.125055
717.911,746.67,0.183173
631.172,653.336,0.236527
555.276,571.669,0.285711
488.866,500.211,0.331247
430.758,437.684,0.373591
379.913,382.974,0.413142
335.424,335.102,0.450249
296.496,293.214,0.485218
262.434,256.562,0.518316
232.63,224.492,0.549776
206.551,196.431,0.579804
183.732,171.877,0.608579
163.766,150.392,0.636256
146.295,131.593,0.662974
131.008,115.144,0.688853
117.632,100.751,0.713996
105.928,88.1572,0.738497
95.6871,77.1375,0.762434
86.7262,67.4953,0.78588
78.8854,59.0584,0.808895
72.0247,51.6761,0.831533
29.6701,25.11,0.97761
28.9614,24.9712,0.972908
28.3412,21.8498,0.963795
27.7986,22.1186,0.950821
27.3237,22.3538,0.934468
26.9083,19.5595,0.915159
26.5447,20.1146,0.893265
26.2266,20.6003,0.869106
25.9483,18.0252,0.842968
25.7048,18.7721,0.815097
25.4917,19.4256,0.78071
25.3052,16.9974,0.740621
25.1421,17.8727,0.695544
24.9993,18.6386,0.646101
24.8744,16.3088,0.592838
24.7651,17.2702,0.539983
24.6695,18.1114,0.491235
24.5858,15.8475,0.446081
24.5126,16.8666,0.404071
24.4485,17.7582,0.364812
24.3924,15.5385,0.32796
24.3434,16.5961,0.293215
22.8004,14.5216,0.261563
21.4504,12.7064,0.232618
20.2691,11.1181,0.206041
19.2355,9.72836,0.184036
18.331,8.51231,0.164781
17.5396,7.44827,0.147934
16.8472,6.51724,0.133192
16.2413,5.70258,0.120293
15.7111,4.98976,0.109006
15.2472,4.36604,0.0991305
14.8413,3.82029,0.0904892
14.4862,3.34275,0.082928
14.1754,2.92491,0.076312
13.9035,2.55929,0.070523
13.6655,2.23938,0.0654577
13.4573,1.95946,0.0610254
13.2752,1.71453,0.0571473
13.1158,1.50021,0.0537539
12.9763,1.31268,0.0507846
12.8543,1.1486,0.0481865
12.7475,1.00502,0.0459132
12.654,0.879396,0.0439241
12.5723,0.769471,0.0421836
11.5008,0.673288,0.0419106
11.5632,113.089,0.0391718
11.6178,98.953,0.0342753
11.6655,89.5839,0.0299909
11.7074,78.3859,0.026242
11.7439,68.5876,0.0229618
11.7759,60.0142,0.0200916
11.8039,52.5124,0.0175801
11.8285,53.4484,0.0153826
11.8499,46.7673,0.0134598
11.8687,40.9214,0.0117773
11.8851,35.8062,0.0103051
11.8994,31.3304,0.009017
11.912,27.4141,0.00788987
11.923,23.9874,0.00690364
11.9326,20.989,0.00604069
11.9411,18.3653,0.0052856
11.9484,16.0697,0.0046249
11.9549,29.061,0.00404679
11.9605,25.4283,0.00354094
11.9654,22.2498,0.00309832
10.9698,19.4686,0.00271103
34.9723,12.2569,0.960274
33.6008,10.7247,0.946489
32.4007,9.38415,0.924428
31.3506,8.21114,0.895125
30.4318,7.18474,0.860734
29.6278,6.28665,0.825642
28.9243,5.50082,0.789937
28.3088,4.81322,0.753695
26.2702,4.21156,0.720733
24.4864,3.68512,0.690641
22.9256,3.22448,0.663061
21.5599,2.82142,0.640179
20.3649,2.46874,0.621406
19.3193,2.16015,0.60623
18.4044,1.89013,0.594202
17.6038,1.65386,0.584926
16.9034,1.44713,0.578061
16.2904,1.26624,0.573303
15.7541,1.10796,0.57039
15.2849,0.969465,0.569091
14.8743,0.848282,0.569205
14.515,0.742246,0.570554
14.2006,0.649466,0.572985
13.9255,0.568282,0.576362
