#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),,Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms)
533401,31.8876,32.1646,246,26441,,0.00823324,0,1,12626,12380,246
536321,30.9016,31.144,246,26441,,0.00840991,0,1,12650,12404,246
539241,30.0389,30.251,246,26441,,0.00856892,0,1,12674,12428,246
542161,29.2841,29.4696,246,26441,,0.00871203,0,1,12698,12452,246
545081,28.6235,28.7859,246,26441,,0.00884083,0,1,12722,12476,246
548001,28.0456,28.1877,246,26441,,0.00895675,0,1,12746,12500,246
550921,27.5399,27.6642,246,26441,,0.00906107,0,1,12770,12524,246
553841,27.0974,27.2062,246,26441,,0.00915496,0,1,12794,12548,246
556761,26.7102,26.8054,246,26441,,0.00923947,0,1,12818,12572,246
559681,30.1215,30.2047,246,26441,,0.00831552,0,1,12872,12626,246
562601,29.3563,29.4292,246,26441,,0.00848397,0,1,12896,12650,246
565521,28.6867,28.7505,246,26441,,0.00863557,0,1,12920,12674,246
568441,28.1009,28.1567,246,26441,,0.00877201,0,1,12944,12698,246
571361,27.5883,27.6371,246,26441,,0.00889481,0,1,12968,12722,246
574281,27.1398,27.1825,246,26441,,0.00900533,0,1,12992,12746,246
577201,26.7473,26.7847,246,26441,,0.0091048,0,1,13016,12770,246
580121,26.4039,26.4366,246,26441,,0.00919432,0,1,13040,12794,246
583041,26.1034,26.132,246,26441,,0.00927489,0,1,13064,12818,246
585961,29.5905,29.6155,246,26441,,0.0083474,0,1,13118,12872,246
588881,28.8917,28.9136,246,26441,,0.00851266,0,1,13142,12896,246
591801,28.2802,28.2994,246,26441,,0.00866139,0,1,13166,12920,246
594721,27.7452,27.7619,246,26441,,0.00879525,0,1,13190,12944,246
597641,27.277,27.2917,246,26441,,0.00891573,0,1,13214,12968,246
600561,26.8674,26.8802,246,26441,,0.00902416,0,1,13238,12992,246
603481,26.509,26.5202,246,26441,,0.00912174,0,1,13262,13016,246
606401,26.1954,26.2052,246,26441,,0.00920957,0,1,13286,13040,246
609321,25.9209,25.9295,246,26441,,0.00928861,0,1,13310,13064,246
612241,29.4308,29.4383,246,26441,,0.00835975,0,1,13364,13118,246
615161,28.752,28.7586,246,26441,,0.00852377,0,1,13388,13142,246
618081,28.158,28.1637,246,26441,,0.0086714,0,1,13412,13166,246
621001,27.6382,27.6433,246,26441,,0.00880426,0,1,13436,13190,246
623921,27.1834,27.1879,246,26441,,0.00892383,0,1,13460,13214,246
626841,26.7855,26.7894,246,26441,,0.00903145,0,1,13484,13238,246
629761,26.4373,26.4407,246,26441,,0.0091283,0,1,13508,13262,246
632681,26.1327,26.1356,246,26441,,0.00921547,0,1,13532,13286,246
635601,25.8661,25.8687,246,26441,,0.00929393,0,1,13556,13310,246
638521,29.3828,29.3851,246,26441,,0.00836453,0,1,13610,13364,246
641441,28.71,28.7119,246,26441,,0.00852808,0,1,13634,13388,246
644361,28.1212,28.123,246,26441,,0.00867527,0,1,13658,13412,246
647281,27.6061,27.6076,246,26441,,0.00880774,0,1,13682,13436,246
650201,27.1553,27.1566,246,26441,,0.00892697,0,1,13706,13460,246
653121,26.7609,26.7621,246,26441,,0.00903427,0,1,13730,13484,246
656041,26.4158,26.4168,246,26441,,0.00913085,0,1,13754,13508,246
658961,26.1138,26.1147,246,26441,,0.00921776,0,1,13778,13532,246
661881,25.8496,25.8504,246,26441,,0.00929599,0,1,13802,13556,246
664801,29.3684,29.3691,246,26441,,0.00836639,0,1,13856,13610,246
667721,28.6973,28.6979,246,26441,,0.00852975,0,1,13880,13634,246
670641,28.1102,28.1107,246,26441,,0.00867677,0,1,13904,13658,246
673561,27.5964,27.5969,246,26441,,0.0088091,0,1,13928,13682,246
676481,27.1468,27.1472,246,26441,,0.00892819,0,1,13952,13706,246
679401,26.7535,26.7538,246,26441,,0.00903537,0,1,13976,13730,246
682321,26.4093,26.4096,246,26441,,0.00913183,0,1,14000,13754,246
685241,26.1081,26.1084,246,26441,,0.00921865,0,1,14024,13778,246
688161,25.8446,25.8449,246,26441,,0.00929678,0,1,14048,13802,246
691081,29.364,29.3643,246,26441,,0.0083671,0,1,14102,13856,246
694001,28.6935,28.6937,246,26441,,0.00853039,0,1,14126,13880,246
696921,28.1068,28.107,246,26441,,0.00867736,0,1,14150,13904,246
699841,27.5935,27.5936,246,26441,,0.00880962,0,1,14174,13928,246
702761,27.1443,27.1444,246,26441,,0.00892866,0,1,14198,13952,246
705681,26.7513,26.7514,246,26441,,0.00903579,0,1,14222,13976,246
708601,26.4074,26.4075,246,26441,,0.00913221,0,1,14246,14000,246
711521,26.1064,26.1065,246,26441,,0.00921899,0,1,14270,14024,246
714441,25.8431,25.8432,246,26441,,0.00929709,0,1,14294,14048,246
717361,29.3627,29.3628,246,26441,,0.00836738,0,1,14348,14102,246
720281,28.6924,28.6925,246,26441,,0.00853064,0,1,14372,14126,246
723201,28.1058,28.1059,246,26441,,0.00867758,0,1,14396,14150,246
726121,27.5926,27.5927,246,26441,,0.00880982,0,1,14420,14174,246
729041,27.1435,27.1436,246,26441,,0.00892884,0,1,14444,14198,246
731961,26.7506,26.7506,246,26441,,0.00903596,0,1,14468,14222,246
734881,26.4068,26.4068,246,26441,,0.00913236,0,1,14492,14246,246
737801,26.1059,26.106,246,26441,,0.00921912,0,1,14516,14270,246
740721,25.8427,25.8427,246,26441,,0.00929721,0,1,14540,14294,246
743641,29.3624,29.3624,246,26441,,0.00836749,0,1,14594,14348,246
746561,28.6921,28.6921,246,26441,,0.00853074,0,1,14618,14372,246
749481,28.1055,28.1056,246,26441,,0.00867767,0,1,14642,14396,246
752401,27.5924,27.5924,246,26441,,0.0088099,0,1,14666,14420,246
755321,27.1433,27.1433,246,26441,,0.00892891,0,1,14690,14444,246
758241,26.7504,26.7504,246,26441,,0.00903602,0,1,14714,14468,246
761161,26.4066,26.4066,246,26441,,0.00913242,0,1,14738,14492,246
764081,26.1058,26.1058,246,26441,,0.00921918,0,1,14762,14516,246
767001,25.8426,25.8426,246,26441,,0.00929726,0,1,14786,14540,246
769921,29.3622,29.3622,246,26441,,0.00836753,0,1,14840,14594,246
772841,28.692,28.692,246,26441,,0.00853078,0,1,14864,14618,246
775761,28.1055,28.1055,246,26441,,0.0086777,0,1,14888,14642,246
778681,27.5923,27.5923,246,26441,,0.00880993,0,1,14912,14666,246
781601,27.1432,27.1432,246,26441,,0.00892894,0,1,14936,14690,246
